,Bill Number,Title,Summary,Session,Sponsors
1280,HB18-1437,Costs Of College-level Courses In Corrections Educational Program,"Correctional educational program - costs of college-level academic programs.Under current law, the correctional education program in the department of corrections is required to provide every person in a correctional facility who demonstrates college-level aptitudes with the opportunity to participate in college-level academic programs that may be offered within the correctional facility. However, unless financial assistance for costs of the programs is provided through certain programs or through private or federally funded grants or scholarships, costs associated with such college-level academic programs must be borne entirely by the person participating in the program. The act removes this stipulation concerning costs and states instead that such costs may be borne through private, local, or federally funded gifts, grants, donations, or scholarships, or by such persons themselves, or through any combination of such funding.(Note: This summary applies to this bill as enacted.)Read More",Session:2018 Regular Session,Prime SponsorsRepresentativeLeslie HerodSenatorTim Neville
1281,HB18-1438,Health Care Coverage Reproductive Health Care,"Section 2of the bill requires all individual and group health benefit plans issued, amended, or renewed on or after January 1, 2020, to provide coverage for specified reproductive health care services, drugs, devices, products, and procedures. Carriers are prohibited from imposing a deductible, coinsurance, copayment, or other cost-sharing requirement for the coverage required under the bill and from imposing restrictions or  delays on the coverage. Under specified circumstances, section 2 permits a carrier to offer a religious employer a plan that does not include coverage for abortion procedures that are contrary to the religious employer's religious tenets. Section 2 also prohibits a carrier from excluding an individual from participation in, denying an individual benefits under, or otherwise discriminating against an individual in the administration of a plan on the basis of the individual's actual or perceived race, color, national origin, sex, sexual orientation, gender identity, religion, age, or disability.Section 4directs the department of health care policy and financing to administer a program to reimburse the cost of specified reproductive health care services, drugs, devices, products, and procedures provided to eligible individuals, which is defined to include individuals with reproductive health care needs who are enrolled in the medicaid program or the children's basic health plan or who are otherwise disqualified for participation in the medicaid program based on their immigration status.The program must also provide medicaid or children's basic health plan benefits, as applicable, to pregnant individuals for 180 days, rather than the mandated 60 days, post-pregnancy, regardless of whether the individual's medicaid or children's basic health plan eligibility would otherwise terminate during that period based on an increase in income.(Note: This summary applies to this bill as introduced.)Read More",Session:2018 Regular Session,Prime SponsorsRepresentativeDaneya Esgar
1282,HB18-1439,Prohibit Misleading Signs Disclaiming Liability,The bill prohibits an owner from displaying a sign stating that the owner or driver is not liable for any damage or injury caused by an item falling out of or escaping from the vehicle. The violation is a class B traffic offense subject to a fine of $100 and a surcharge of $30.(Note: This summary applies to this bill as introduced.)Read More,Session:2018 Regular Session,"Prime SponsorsRepresentativeAlexander ""Skinny"" Winkler"
1283,HB18-1440,Preneed Funeral Contract Sellers,"The bill:Creates the preneed relief fund to provide restitution to preneed contract buyers;Requires funeral establishments to identify the individuals who sell preneed funeral contracts at, or on behalf of, the establishment; andRequires that all registered funeral establishments also be licensed as preneed contract sellers.$28,403 is appropriated from the division of insurance cash fund to the department of regulatory agencies to implement the bill.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2018 Regular Session,Prime SponsorsRepresentativeDonald ValdezSenatorNancy ToddSenatorDon Coram
1284,HB18-1441,500-feet-from-school Limit For Beer Code Retailers,"Alcohol beverages - licensing - retail establishments - conditions and limitations - proximity to schools.With limited exceptions, current law prohibits a licensing authority from receiving or acting upon a license application under the ""Colorado Liquor Code"" for the retail sale of alcohol beverages if the building in which the alcohol beverages will be sold is located within 500 feet of a public or parochial school or a college, university, or seminary. A local government may eliminate or reduce the distance restrictions.The act applies the same distance restrictions, with the same limited exceptions and authority of a local government to reduce or eliminate the restrictions, to any fermented malt beverage retailer licensed on or after May 24, 2018, under the ""Colorado Beer Code"" to sell fermented malt beverages at retail or any fermented malt beverage retailer that applies on or after May 24, 2018, to relocate its licensed premises.(Note: This summary applies to this bill as enacted.)Read More",Session:2018 Regular Session,Prime SponsorsRepresentativeTracy Kraft-TharpRepresentativeCole WistSenatorChris HolbertSenatorLucia Guzman
1285,HB19-1001,Hospital Transparency Measures To Analyze Efficacy,"Hospitals - healthcare affordability and sustainability enterprise board - annual hospital expenditure report - hospital report card and hospital charge report recommendations.The act requires the department of health care policy and financing (department), in consultation with the Colorado healthcare affordability and sustainability enterprise board, to develop and prepare an annual report detailing uncompensated hospital costs and the different categories of expenditures made by hospitals in the state (hospital expenditure report). In compiling the hospital expenditure report, the department shall use publicly available data sources whenever possible. Each hospital in the state is required to make available to the department certain information.Prior to issuing the hospital expenditure report, each hospital referenced in the report has 15 days to review the report and submit clarifications or corrections to the department. Additionally, the department is required to provide a statewide hospital association any information it receives from hospitals in the development of the hospital expenditure report.The department is required to submit the hospital expenditure report to the governor, specified committees of the general assembly, and the medical services board in the department by January 15, 2020, and each year thereafter. The department is also directed to post the hospital expenditure report on the department's website.The act requires the department, in consultation with the department of public health and environment and the division of insurance, to determine whether the hospital report card and the hospital charge report that exist under current law require any structural or substantive changes. Any such recommendations to that effect are required to be made to the general assembly by November 1, 2019.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeChris KennedySenatorDominick MorenoSenatorBob Rankin
1286,HB19-1002,Leadership Professional Development For School Principals,"School leadership pilot program - appropriation.The act creates the school leadership pilot program (program) to provide professional development for public elementary, middle, and high school principals. During the 2019-20 budget year, the department of education (department) is directed to design and implement the program or contract with a nonprofit entity or institution of higher education (contracted entity) to design and implement the program. The program must include identification of high-quality school principals who will interact with the school principals selected to receive professional development through the program. The program must also include professional development in distributive and collaborative leadership skills with the goal of improving educator retention, school climate and culture, and student outcomes.School principals may apply to receive professional development through the program during the 2020-21 and 2021-22 budget years. The department or the contracted entity must review the applications and select the participants. Subject to available appropriations, the department must provide grants to the employers of the school principals who participate in the program either as high-quality school principals or to receive professional development.By March 15, 2020, the department must report to the education committees of the general assembly concerning the design of the program. By January 15, 2022, the department must report to the education committees concerning implementation of the program, including recommendations for whether the program should be continued. The program is repealed, effective July 1, 2022.For the 2019-20 fiscal year, the act appropriates $272,929 from the general fund to the department to implement the program.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeBarbara McLachlanRepresentativeJames  WilsonSenatorRachel ZenzingerSenatorKevin Priola
1287,HB19-1003,Community Solar Gardens Modernization Act,"Electric utilities - solar energy - community solar gardens - allowable size and location - standards for construction and installation of components.The act amends the current statute authorizing the creation of community solar gardens (CSGs) by:Increasing the maximum size of a CSG from 2 megawatts to 5 megawatts, with the option for the public utilities commission (PUC) to authorize construction of a CSG up to 10 megawatts beginning July 1, 2023;Removing the requirement that a CSG subscriber's identified physical location be in the same county as, or a county adjacent to, that of the CSG, while retaining the requirement that it be within the service territory of the same investor-owned utility; andRequiring all photovoltaic electrical work on a CSG of greater than 2 megawatts to be supervised by a licensed master electrician, licensed journeyman electrician, or licensed residential wireman, and comply with all applicable electrical codes and standards. If an investor-owned utility owns all or part of a CSG, the utility is required to use either its own employees or a contractor whose employees have access to specified apprenticeship programs to operate and maintain the CSG.Beginning in 2020, all photovoltaic electrical work for installations of at least 300 kilowatts must be performed by a licensed master electrician, licensed journeyman electrician, licensed residential wireman, or properly supervised electrical apprentices and must comply with all applicable electrical codes and standards.The PUC shall determine the conditions under which a subscriber to a CSG may choose to retain or sell the renewable energy credits attributable to the subscriber's participation in the CSG.Section 4 of the act is contingent upon House Bill 19-1172 becoming law.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeChris HansenRepresentativeAlex ValdezSenatorMike FooteSenatorTammy Story
1288,HB19-1004,Proposal For Affordable Health Coverage Option,"Proposal for a state option for health care coverage - creation - division of insurance - appropriation.The act requires the department of health care policy and financing and the division of insurance in the department of regulatory agencies (departments) to develop and submit a proposal (proposal) to certain committees of the general assembly concerning the design, costs, benefits, and implementation of a state option for health care coverage. Additionally, the departments shall present a summary of the proposal at the annual joint hearings with the legislative committees of reference during the interim before the 2020 legislative session.The proposal must contain a detailed description of a state option and must identify the most effective implementation of a state option based on affordability to consumers at different income levels, administrative and financial burden to the state, ease of implementation, and likelihood of success in meeting the objectives described in the act. The proposal must also identify any necessary changes to state law to implement the proposal.In developing the proposal, the departments shall engage in a stakeholder process that includes public and private health insurance experts, consumers, consumer advocates, employers, providers, and carriers. Further, the departments shall review any information relating to a pilot program operated by the state personnel director as a result of legislation that may be enacted during the 2019 legislative session.The departments shall prepare and submit any necessary federal waivers or state plan amendments to implement the proposal, unless a bill is filed within the filing deadlines for the 2020 legislative session that substantially alters the federal authorization required for the proposal and the bill is not postponed indefinitely in the first committee.For the 2018-19 state fiscal year, the act appropriates $75,000 from the general fund to the department of health care policy and financing for professional services, and $115,500 from the general fund to the department of regulatory agencies for the division of insurance for personal services.For the 2019-20 state fiscal year, the act appropriates $150,000 from the general fund to the department of health care policy and financing for professional services, and $231,000 from the general fund to the department of regulatory agencies for the division of insurance for personal services.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeDylan RobertsRepresentativeMarc CatlinSenatorKerry Donovan
1289,HB19-1005,Income Tax Credit For Early Childhood Educators,"Income tax - tax credit - eligible early childhood educators.The act provides a refundable income tax credit to an eligible early childhood educator with a federal adjusted gross income less than or equal to $75,000 for an individual filing a single return, or less than or equal to $85,000 for an individual filing a joint return, who, for at least 6 months of the taxable year for which the credit is claimed, holds an early childhood professional credential and is either the licensee of an eligible program or employed by an eligible program. The act specifies that an eligible program means either an early childhood education program or a licensed family child care home and the eligible program must have held at least a level 2 quality rating under the Colorado shines quality rating and improvement system for the income tax year for which the credit is claimed and, for the income tax year for which the credit is claimed, either have fiscal agreements with the Colorado child care assistance program or be a program that meets the federal early head start or head start standards. The amount of the credit is dependent on the eligible early childhood educator's credentialing level and is annually adjusted for inflation. The department of human services is required to provide to the department of revenue an annual report of each individual who held an early childhood professional credential during the previous calendar year for which the income tax credit is allowed.The act takes effect only if, at the November 2019 statewide election, a majority of voters do not approve a referred measure that allows the state to increase the cigarette tax, increase the tobacco products tax, and to create a new tax on nicotine products and use a significant portion of the tax revenue for preschool programs and expanded learning opportunities. If the voters at the November 2019 statewide election do not approve such a measure, then the act takes effect on the date of the official declaration of the vote thereon by the governor.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeJanet BucknerRepresentativeJames  WilsonSenatorNancy ToddSenatorKevin Priola
1290,HB19-1006,Wildfire Mitigation Wildland-urban Interface Areas,"Forest restoration and wildfire risk mitigation grant program cash fund - appropriations.The act permits the forest restoration and wildfire risk mitigation grant program cash fund (fund) to accept as a component of the fund money appropriated or transferred to the fund by the general assembly. The act also expresses the intent of the general assembly that any additional amount of money appropriated for the 2019-20 state fiscal year to the fund be expended on grants that will support the maximum number of effective forest management fuels reduction projects to reduce the impacts to life, property, and critical infrastructure caused by wildfire.The act exempts appropriations made to the fund from existing statutory requirements relating to appropriations for financial assistance to students attending postsecondary education institutions.For the 2019-20 state fiscal year, the act appropriates $1 million from the general fund to be deposited into the fund for the use of the forest restoration and wildfire risk mitigation grant program.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeBarbara McLachlanRepresentativeTerri CarverSenatorRhonda Fields
1291,HB19-1007,Contribution Limits For County Offices,"Campaign contribution limits - county offices - appropriation.Current law regulating campaign finance does not set limits on contributions to candidates for a county office. The act sets the maximum amount of aggregate contributions that a person may make to a candidate committee of a candidate for a county office, and that a candidate committee for such candidate may accept from such person, as follows:In the case of any person other than a small donor committee or a political party, $1,250 for both the primary and general elections;In the case of a small donor committee, $12,500 for both the primary and general elections; andIn the case of a political party, $22,125 for the applicable election cycle.The act defines ""county office"" to mean a county commissioner, county clerk and recorder, sheriff, coroner, treasurer, assessor, or surveyor.The act specifies that the contribution limits in the act are required to be adjusted for inflation in the same manner as other contribution limits specified in the state constitution.The act also makes statutory requirements governing the disclosure of campaign finance information and the filing of disclosure reports applicable to a contribution made to, or received by, a candidate committee of a candidate for a county office.For the 2019-20 state fiscal year, the act appropriates $7,000 to the department of state cash fund for personal services related to information technology services.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeEmily SirotaSenatorRachel Zenzinger
1292,HB19-1008,Include Career And Technical Education In Building Excellent Schools Today Program,"School district capital construction assistance program - grants to support career and technical education.The act amends the ""Building Excellent Schools Today Act"" to allow the public school capital construction assistance board (board) to provide grants to support career and technical education capital construction, which is defined as:New construction or retrofitting of public school facilities for certain career and technical education programs; andEquipment necessary for individual student learning and classroom instruction, including equipment that provides access to instructional materials or that is necessary for professional use by a classroom teacher.The act requires the board to report annually to the capital development committee and to the education and finance committees of the house of representatives and the senate, or to any successor committees, concerning the issuance and denial of career and technical education capital construction grants during the preceding year.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeTracy Kraft-TharpRepresentativeColin LarsonSenatorNancy ToddSenatorPaul Lundeen
1293,HB19-1009,Substance Use Disorders Recovery,"Recovery from substance use disorders - housing vouchers - recovery residence standards and requirements - recovery residence certification grant program - creation of the opioid crisis recovery funds advisory committee - appropriation.The act:Expands the housing voucher program currently within the department of local affairs to include individuals with a substance use disorder;Establishes standards for recovery residences for purposes of referrals and title protection and prohibits a facility from using the terms ""recovery residence"", ""sober living facility"", or ""sober home"" unless the facility meets specified conditions;Creates the recovery residence certification grant program; andCreates the opioid crisis recovery funds advisory committee to advise and collaborate with the department of law on uses of any custodial funds the state receives as settlement or damage awards resulting from opioid-related litigation.To implement the act:$1,000,000 is appropriated to the department of local affairs;$2,620 is appropriated to the office of the governor for use by the office of information technology; and$50,000 is appropriated to the department of human services for use by the office of behavioral health.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeChris KennedyRepresentativeJonathan SingerSenatorKevin PriolaSenatorBrittany Pettersen
1294,HB19-1010,Freestanding Emergency Departments Licensure,"Freestanding emergency departments - mandatory licensure - exceptions - appropriation.Effective July 1, 2022, the act creates a new license, referred to as a ""freestanding emergency department license"". The department of public health and environment (department) may issue the license to a health facility that offers emergency care, that may offer primary and urgent care services, and that is either:Owned or operated by, or affiliated with, a hospital or hospital system and located more than 250 yards from the main campus of the hospital; orIndependent from and not operated by or affiliated with a hospital or hospital system and not attached to or situated within 250 yards of, or contained within, a hospital.A facility licensed as a community clinic before July 1, 2010, and that serves a rural community or ski area is excluded from the definition of ""freestanding emergency department"".The act allows the department to waive the licensure requirements for a facility that is licensed as a community clinic or that is seeking community clinic licensure and serves an underserved population in the state.The state board of health must adopt rules regarding the new license, including rules to set licensure requirements and fees and safety and care standards.$43,248 is appropriated to the department from the health facilities general licensure cash fund to implement the act.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeKyle MullicaRepresentativeLois LandgrafSenatorBob GardnerSenatorBrittany Pettersen
1295,HB19-1011,Scope Of Manufactured Home Sales Tax Exemption,"Manufactured homes - sales tax exemption clarification.As it existed before the enactment of the act, the state sales and use tax exemption statute (exemption statute) exempted from state sales tax, and through operation of another statute also exempted from local sales taxes, 48% of the purchase price for the initial sale of ""factory-built housing"" and 100% of the purchase price for any subsequent sale of a ""manufactured home"" (sales tax exemption). The exemption statute referenced another statute defining ""factory-built housing"", but in Senate Bill 03-182, concerning the consolidation of programs implemented by the department of local affairs that pertain to the regulation of construction, the general assembly replaced the existing definition of ""factory-built housing"" with a new definition of ""factory-built residential structure"", and the statute referenced in the exemption statute actually defines the latter term. This definition of ""factory-built residential structure"" includes only ""structures designed to be installed on a permanent foundation"" and therefore arguably limited the sales tax exemption, which had previously clearly applied to structures designed for occupancy in either temporary or permanent locations, to only those structures designed to be installed on permanent foundations.The act clarifies the scope of the sales tax exemption by amending the exemption statute to exempt ""manufactured homes"" instead of ""factory-built housing"", which clarifies that the sales tax exemption applies to homes designed to be installed on either temporary or permanent foundations.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeEdie HootonSenatorJack Tate
1296,HB19-1012,DPA Department Of Personnel Flexible Administration Of Controlled Maintenance Payments,"Capital construction - controlled maintenance - state architect - flexibility in administering payment of certain projects.The act grants the state architect, through the executive director of the department of personnel, flexibility in administering the payment of certain controlled maintenance projects from the proceeds of the lease-purchase agreements executed as required by Senate Bill 17-267, concerning the sustainability of rural Colorado.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeSusan BeckmanRepresentativeAlex ValdezSenatorRhonda Fields
1297,HB19-1013,Child Care Expenses Tax Credit Low-income Families,"Child care expenses - income tax credit - individuals with low income - extension.For income tax years prior to January 1, 2021, a resident individual who has a federal adjusted gross income of $25,000 or less may claim a refundable state income tax credit for child care expenses for the care of a dependent who is less than 13 years old. The act extends the tax credit for 8 years.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeTony ExumSenatorBrittany Pettersen
1298,HB19-1014,Retail Food Establishments Inspection And Suspension,"Retail food establishments - inspections - penalties for violations.With respect to retail food establishment inspections, the act:Clarifies that emergency situations can create an ""imminent health hazard"";Repeals language that separated violations found during inspections into critical and noncritical violations;Clarifies that it is unlawful to continue to operate a retail food establishment that has had its license or certificate of license suspended;Aligns the requirements for the communication of inspection results with the determination of whether violations are sufficient to require a reinspection;Removes the minimum amount for a civil penalty and establishes the maximum amount as $1,000 for violations of rules promulgated by the department of public health and environment;Provides that a retail food establishment that is found to be in violation during 4 out of 5 inspections during a 12-month period is subject to a civil penalty not to exceed $1,000 and license suspension; andAdds unpaid license fees to the list of items on which a retail food establishment can spend an assessed penalty.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeJonathan SingerRepresentativeShannon BirdSenatorJoann Ginal
1299,HB19-1015,Recreation Of The Colorado Water Institute,Colorado water institute recreation.The Colorado water institute was created in 1981 and automatically repealed in 2017. The act recreates the institute.(Note: This summary applies to this bill as enacted.)Read More,Session:2019 Regular Session,Prime SponsorsRepresentativeJeni James ArndtSenatorJoann Ginal
1300,HB19-1016,Basic Skills Placement Tests For High School,"Under existing law, an institution of higher education (institution) is required to administer basic skills placement or assessment tests (tests) in English and math to matriculated students. The institution must select  the tests from among those that meet standards established by the Colorado commission on higher education (CCHE). The bill prohibits an institution from using tests that are not available for use by school districts and high schools, including early colleges. CCHE must ensure that this requirement is included in the standards for these tests.(Note: This summary applies to this bill as introduced.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeTim Geitner
1301,HB19-1017,Kindergarten Through Fifth Grade Social And Emotional Health Act,"Colorado K-5 social and emotional heath act - pilot program - appropriation.The act creates the ""Colorado K-5 Social and Emotional Health Act"" (health act). Subject to available appropriations, the health act requires the department of education (department) to select up to 10 pilot schools (pilot school) to participate in a pilot program that ensures that a school mental health professional, as defined in the health act, is dedicated to each of grades kindergarten through fifth grade, with a ratio of mental health professionals to students of approximately one per 250 students. To the extent possible, the school mental health professional shall follow the same students through each grade. The general assembly shall appropriate the resources necessary for the pilot school to hire or contract with the additional school mental health professionals. The department shall select pilot schools that meet the characteristics outlined in the health act, including high poverty, ethnic diversity, and a large concentration of students in the foster care system.Among other responsibilities consistent with the mental health professional's license, the school mental health professional shall provide needed services to students and their families in the pilot school, including providing services and supports to students with learning disabilities, identifying food insecurities, providing resources to develop and improve the social and emotional health of students, and helping eligible students and their families access public benefits. Services must be provided at school and during school hours, as appropriate.The health act requires the department to employ or contract with a pilot program coordinator to oversee the implementation of the pilot program across the pilot schools.The pilot program begins operation during the 2020-21 school year and repeals in July 2023. The department shall contract with a professional program evaluator (evaluator) to conduct a preliminary evaluation in 2022 and a final evaluation before the repeal of the pilot program. The evaluator shall establish the method for the collection and monitoring of the pilot schools' data throughout the pilot program. The evaluator shall evaluate the effectiveness of services provided by the pilot program on the academic, mental, and physical health and well-being of the student cohorts within the scope of the pilot program.The health act authorizes the use of marijuana tax cash fund money and gifts, grants, or donations to fund the pilot program.For the 2019-20 state fiscal year, the act appropriates $43,114 and 0.4 FTE from the marijuana tax cash fund to the department of education to implement the health act.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeDafna Michaelson JenetSenatorRhonda Fields
1302,HB19-1018,End Local Government Opt Out Of Unclaimed Property Act,"Currently, if a local government enacts a local law related to the disposition of abandoned intangible property it holds for an owner and the local law is inconsistent with the requirements of the ""Unclaimed Property Act"" (act), then the local law controls the disposition of the property.Sections 2 and 4of the bill eliminate this exception effective September 1, 2019, so that a local government is required to comply with  the act like any other holder of abandoned intangible property.Section 3requires a local government that holds intangible property that was previously exempt from the act to pay or deliver the property to the administrator on or before January 1, 2020.Section 1specifies that a county's discretionary power to dispose of abandoned personal property acquired by an elected official or county employee only applies to tangible personal property and does not apply to intangible property, which is subject to the act.(Note: This summary applies to this bill as introduced.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeRod Bockenfeld
1303,HB19-1019,Psychotherapists Continuing Competency Requirements,"The bill establishes continuing professional competency requirements for psychotherapists registered in Colorado by the state board of registered psychotherapists (board). The requirements mirror the continuing professional competency requirements established for social workers, marriage and family therapists, licensed professional counselors, and addiction counselors.On or before March 1, 2020, the board is required to adopt rules establishing a continuing professional competency program that includes the following elements:A self-assessment of the knowledge and skills of a registered psychotherapist;The development, execution, and documentation of a learning plan; andPeriodic demonstration of knowledge and skills through documentation of activities.(Note: This summary applies to this bill as introduced.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeJames ColemanSenatorAngela Williams
1304,HB19-1020,Capital Development Committee Administrative Matters,Capital development committee - appointments - chair and vice-chair elections.The act clarifies who makes the appointments of members from the senate and the house of representatives to serve on the capital development committee and clarifies that the chair and vice-chair elections are made at the first December meeting of the capital development committee held after the general election in each even-numbered year.(Note: This summary applies to this bill as enacted.)Read More,Session:2019 Regular Session,Prime SponsorsRepresentativeDylan RobertsRepresentativeSusan BeckmanSenatorRhonda FieldsSenatorTammy Story
1305,HB19-1021,Repeal Ammunition Magazine Prohibition,"The bill repeals statutory provisions:Prohibiting the possession of certain ammunition magazines; andRequiring each of certain ammunition magazines that are manufactured in Colorado on or after July 1, 2013, to include a permanent stamp or marking indicating that the  magazine was manufactured or assembled after July 1, 2013.(Note: This summary applies to this bill as introduced.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeLori SaineRepresentativeStephen Humphrey
1306,HB19-1022,Deadly Force Against Intruder At A Business,"The bill extends the right to use deadly physical force against an intruder under certain conditions to include owners, managers, and employees of a business.(Note: This summary applies to this bill as introduced.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeShane Sandridge
1307,HB19-1023,Foster Children Driving Licenses,"Driver's licenses - foster children - automobile insurance - appropriation.Section 1 of the act clarifies that a minor who is at least 16 years of age can purchase auto insurance.Section 2 exempts a foster child from being required, when being issued a driver's license, to have his or her foster parent or other legal guardian sign an affidavit of liability if the child holds evidence of financial responsibility in his or her own name. Section 2 also:Authorizes counties to provide a service that exempts foster children from needing a foster parent or other legal guardian to sign an affidavit of liability. The county may accept and expend gifts, grants, or donations to implement this program.Lowers to 17 the age at which the county need not obtain permission of a foster parent to obtain an instruction permit without a responsible adult signing an affidavit of liability; andRepeals a provision that authorizes a foster child to obtain an instruction permit if enrolled in a driving school.Section 3 allows any person who is at least 21 years of age and who holds a driver's license to sign a foster child's driving logs if the person provided the instruction.Section 4 authorizes anyone who is at least 21 years of age and who holds a driver's license to instruct a foster child with a driving permit notwithstanding that the person did not sign the affidavit of liability.Section 5 directs the transportation legislation review committee to examine barriers to foster children meeting the 50-hour driving requirement while holding an instruction permit and to foster children obtaining automobile liability insurance.Section 6 appropriates $6,750 to the department of revenue to implement the act.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeLori SaineRepresentativeDominique JacksonSenatorVicki MarbleSenatorNancy Todd
1308,HB19-1024,Colorado Youth Advisory Council Review Committee,"Colorado youth advisory council - review committee - appropriation.The Colorado youth advisory council review committee (review committee) is created to review the work of the Colorado youth advisory council (council) and recommend legislation affecting Colorado youth. The review committee is comprised of the legislative members of the council, 5 nonlegislative council members who are appointed by the council, and one member of the legislative council. The 5 legislative members of the review committee serve as voting members. All other members are nonvoting members. The review committee may meet up to 3 times each interim and recommend up to 3 bills to the legislative council.For the 2019-20 state fiscal year, the act appropriates $28,790 from the general fund to the legislative department to use as follows:$18,455 for use by legislative council staff;$6,889 for use by the committee on legal services; and$3,446 for use by the general assembly.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeHugh McKeanRepresentativeBri BuentelloSenatorNancy ToddSenatorDon Coram
1309,HB19-1025,Limits On Job Applicant Criminal History Inquiries,"Hiring practices - limitations on criminal history inquiries - exceptions - enforcement - appropriation.Effective September 1, 2019, for employers with 11 or more employees, and effective September 1, 2021, for all employers, employers are prohibited from:Advertising that a person with a criminal history may not apply for a position;Placing a statement in an employment application that a person with a criminal history may not apply for a position; orInquiring about an applicant's criminal history on an initial application.An employer may obtain a job applicant's publicly available criminal background report at any time.An employer is exempt from the restrictions on advertising and initial employment applications when:The law prohibits a person who has a particular criminal history from being employed in a particular job;The employer is participating in a program to encourage employment of people with criminal histories; orThe employer is required by law to conduct a criminal history record check for the particular position.The department of labor and employment (department) is charged with enforcing the requirements of the act and may issue warnings and orders of compliance for violations and, for second or subsequent violations, impose civil penalties. A violation of the restrictions does not create a private cause of action, and the act does not create a protected class under employment anti-discrimination laws. The department is directed to adopt rules regarding procedures for handling complaints against employers.The department is appropriated $38,113 from the employment support fund and 0.6 FTE to implement the act.(Note: This summary applies to this bill as enacted.)Read More",Session:2019 Regular Session,Prime SponsorsRepresentativeJovan MeltonRepresentativeLeslie HerodSenatorMike FooteSenatorRobert Rodriguez
