,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
3086,HB23-1293,Felony Sentencing Commission Recommendations,/bills/hb23-1293,"Concerning the adoption of the 2023 recommendations of the Colorado commission on criminal and juvenile justice regarding felony sentencing, and, in connection therewith, making an appropriation.",Last Action:06/1/2023 | Governor Signed,1,"Rep. M. Weissman, Rep. M. Soper, Sen. J. Gonzales, Sen. B. Gardner","Crimes, Corrections, & Enforcement",2023 Regular Session,Type:Bill,2023-06-01
3087,HB23-1294,Pollution Protection Measures,/bills/hb23-1294,"Concerning measures to protect communities from pollution, and, in connection therewith, making an appropriation.",Last Action:06/6/2023 | Governor Signed,1,"Rep. J. Bacon, Rep. J. Willford, Sen. F. Winter, Sen. J. Gonzales",Natural Resources & Environment,2023 Regular Session,Type:Bill,2023-06-06
3088,HB23-1295,Audits Of Department Of Health Care Policy And Financing Payments To Providers,/bills/hb23-1295,"Concerning the review of payments made by the department of health care policy and financing to providers, and, in connection therewith, making an appropriation.",Last Action:06/1/2023 | Governor Signed,1,"Rep. S. Bird, Rep. R. Bockenfeld, Sen. R. Zenzinger, Sen. B. Kirkmeyer",Health Care & Health Insurance,2023 Regular Session,Type:Bill,2023-06-01
3089,HB23-1296,Create Task Force Study Rights Persons Disabilities,/bills/hb23-1296,"Concerning the creation of a task force to study issues related to the rights of Coloradans with disabilities, and, in connection therewith, making an appropriation.",Last Action:05/25/2023 | Governor Signed,1,"Rep. D. Ortiz, Rep. L. Herod, Sen. F. Winter",State Government,2023 Regular Session,Type:Bill,2023-05-25
3090,HB23-1297,Prohibit Corporation Issuing Scrip In Bearer Form,/bills/hb23-1297,Concerning prohibiting a corporation from issuing a scrip in bearer form upon the holder surrendering enough scrip to equal a full share.,Last Action:06/7/2023 | Governor Signed,1,"Rep. E. Epps, Rep. R. Taggart, Sen. B. Pelton",Business & Economic Development,2023 Regular Session,Type:Bill,2023-06-07
3091,HB23-1298,Earlier Funding For Middle School Lead Testing,/bills/hb23-1298,Concerning the date upon which the department of public health and environment must begin providing reimbursements to certain public schools for costs associated with testing the lead content of drinking water.,Last Action:06/1/2023 | Governor Signed,1,"Rep. E. Sirota, Rep. S. Bird, Sen. J. Bridges, Sen. B. Kirkmeyer",Education & School Finance (Pre & K-12)Public Health,2023 Regular Session,Type:Bill,2023-06-01
3092,HB23-1299,Justice Reinvestment Crime Prevention Initiative.,/bills/hb23-1299,"Concerning the justice reinvestment crime prevention initiative, and, in connection therewith, making an appropriation.",Last Action:06/1/2023 | Governor Signed,1,"Rep. S. Bird, Rep. R. Bockenfeld, Sen. J. Bridges, Sen. B. Kirkmeyer",State Government,2023 Regular Session,Type:Bill,2023-06-01
3093,HB23-1300,Continuous Eligibility Medical Coverage,/bills/hb23-1300,"Concerning extending continuous eligibility medical coverage for certain individuals, and, in connection therewith, seeking federal authorization and making an appropriation.",Last Action:06/1/2023 | Governor Signed,1,"Rep. S. Bird, Rep. E. Sirota, Sen. R. Zenzinger, Sen. B. Kirkmeyer",Health Care & Health Insurance,2023 Regular Session,Type:Bill,2023-06-01
3094,HB23-1301,Revisor's Bill,/bills/hb23-1301,"Concerning the nonsubstantive revision of statutes in the Colorado Revised Statutes, as amended, and, in connection therewith, amending or repealing obsolete, imperfect, and inoperative law to preserve the legislative intent, effect, and meaning of the law.",Last Action:06/1/2023 | Governor Signed,1,"Rep. M. Soper, Rep. M. Snyder, Sen. B. Gardner, Sen. R. Rodriguez",General Assembly,2023 Regular Session,Type:Bill,2023-06-01
3095,HB23-1302,Housing Accessibility,/bills/hb23-1302,"Concerning accessibility requirements for housing, and, in connection therewith, modifying the standards for accessible housing, updating the prohibition on unfair or discriminatory housing practices against individuals with disabilities, and authorizing a court to extend the date for a court hearing upon receiving a written request for a reasonable accommodation pursuant to prohibited unfair housing practices.","Last Action:04/25/2023 | House Committee on Transportation, Housing & Local Government Postpone Indefinitely",0,"Rep. D. Ortiz, Rep. S. Lieder",Housing,2023 Regular Session,Type:Bill,2023-04-25
3096,HB23-1303,Protect Against Insurers' Impairment And Insolvency,/bills/hb23-1303,Concerning protections in the event of an insurance company failure.,Last Action:05/15/2023 | Governor Signed,1,"Rep. K. Brown, Rep. J. McCluskie, Sen. C. Hansen, Sen. D. Roberts",Health Care & Health InsuranceInsurance,2023 Regular Session,Type:Bill,2023-05-15
3097,HB23-1304,Proposition 123 Affordable Housing Programs,/bills/hb23-1304,Concerning modifications to the affordable housing programs created by the voters' approval of proposition 123.,Last Action:06/5/2023 | Governor Signed,1,"Rep. J. McCluskie, Rep. L. Frizell, Sen. D. Roberts, Sen. T. Exum",Housing,2023 Regular Session,Type:Bill,2023-06-05
3098,HB23-1305,Continue Health Benefits In Work-related Death,/bills/hb23-1305,"Concerning the program to provide the continuation of health benefits for dependents of certain local government public safety employees who die in a work-related death, and, in connection therewith, making an appropriation.",Last Action:06/1/2023 | Governor Signed,1,"Rep. S. Bird, Rep. R. Bockenfeld, Sen. R. Zenzinger, Sen. B. Kirkmeyer",Local GovernmentState Government,2023 Regular Session,Type:Bill,2023-06-01
3099,HB23-1306,Public Use of Elected Officials' Social Media,/bills/hb23-1306,"Concerning the use of social media administered by an elected official that is not supported by government resources, and, in connection therewith, allowing an elected official to restrict or bar an individual from using the social media administered by the elected official for any reason including attempting to chill the speech of another individual.",Last Action:06/5/2023 | Governor Signed,1,"Rep. L. Herod, Rep. M. Soper, Sen. B. Gardner, Sen. J. Coleman",General Assembly,2023 Regular Session,Type:Bill,2023-06-05
3100,HB23-1307,Juvenile Detention Services And Funding,/bills/hb23-1307,"Concerning enhanced supports for youth who are in detention, and, in connection therewith, making an appropriation.",Last Action:06/7/2023 | Governor Signed,1,"Rep. L. Daugherty, Rep. M. Soper, Sen. C. Simpson, Sen. R. Rodriguez",Human Services,2023 Regular Session,Type:Bill,2023-06-07
3101,HB23-1308,Access To Government By Persons With Disabilities,/bills/hb23-1308,Concerning access to government by persons with disabilities.,"Last Action:05/2/2023 | House Committee on Transportation, Housing & Local Government Postpone Indefinitely",0,"Rep. D. Ortiz, Sen. J. Danielson",Courts & JudicialElections & RedistrictingGeneral AssemblyLocal GovernmentState Government,2023 Regular Session,Type:Bill,2023-05-02
3102,HB23-1309,Film Incentive Tax Credit,/bills/hb23-1309,"Concerning the restructuring of the performance-based incentive for film production in Colorado, and, in connection therewith, reducing an appropriation.",Last Action:06/5/2023 | Governor Signed,1,"Rep. L. Herod, Rep. M. Snyder, Sen. S. Jaquez Lewis",Fiscal Policy & Taxes,2023 Regular Session,Type:Bill,2023-06-05
3103,HB23-1310,Misuse Of Public Safety Answering Point,/bills/hb23-1310,Concerning the conditions under which a person commits a civil infraction for misusing a public safety answering point.,Last Action:05/2/2023 | House Committee on Judiciary Postpone Indefinitely,0,Rep. C. deGruy Kennedy,"Crimes, Corrections, & Enforcement",2023 Regular Session,Type:Bill,2023-05-02
3104,HB23-1311,Identical Temporary TABOR Refund,/bills/hb23-1311,Concerning the creation of an identical refund payment of excess state revenues from all sources as a mechanism to refund a portion of the excess state revenues for the 2022-23 state fiscal year only.,Last Action:05/24/2023 | Governor Signed,1,"Rep. C. deGruy Kennedy, Rep. M. Weissman, Sen. C. Hansen, Sen. N. Hinrichsen",State Revenue & Budget,2023 Regular Session,Type:Bill,2023-05-24
3105,HB23-1501,,/bills/hb23-1501,,,0,"Sen. D. Moreno, Rep. M. Soper",,,,
3106,HB23-1502,,/bills/hb23-1502,,,0,"Sen. D. Moreno, Rep. M. Soper",,,,
3107,HB23-1503,,/bills/hb23-1503,,,0,"Rep. M. Soper, Sen. D. Moreno",,,,
3108,HB23B-1001,Emergency Rental Assistance Grant Program,/bills/hb23b-1001,Concerning the creation of the emergency rental assistance grant program within the department of local affairs for the purpose of providing emergency rental assistance during the 2023-2024 state fiscal year.,Last Action:11/28/2023 | Governor Signed,1,"Rep. M. Lindsay, Rep. L. Herod, Sen. J. Gonzales, Sen. J. Buckner",Housing,2023 Extraordinary Session,Type:Bill,2023-11-28
3109,HB23B-1002,Increased Earned Income Tax Credit 2023,/bills/hb23b-1002,"Concerning an increase in the earned income tax credit for income tax year 2023, and, in connection therewith, making an appropriation.",Last Action:11/20/2023 | Governor Signed,1,"Rep. J. Willford, Rep. M. Young, Sen. C. Kolker, Sen. R. Fields",Fiscal Policy & Taxes,2023 Extraordinary Session,Type:Bill,2023-11-20
3110,HB23B-1003,Property Tax Task Force,/bills/hb23b-1003,"Concerning the creation of the commission on property tax, and, in connection therewith, making an appropriation.",Last Action:11/28/2023 | Governor Signed,1,"Rep. M. Snyder, Sen. K. Mullica, Sen. S. Fenberg",Fiscal Policy & Taxes,2023 Extraordinary Session,Type:Bill,2023-11-28
3111,HB23B-1004,2023 Property Tax Reduction Policy Study,/bills/hb23b-1004,"Concerning property tax relief, and, in connection therewith, reducing property taxes for the 2023 property tax year and requiring the legislative oversight committee concerning tax policy to consider a long-term solution for property taxation in the state and to include any findings and recommendations regarding such a long-term solution in its annual report to the general assembly.","Last Action:11/17/2023 | House Committee on Transportation, Housing & Local Government Postpone Indefinitely",0,Rep. B. Marshall,Fiscal Policy & Taxes,2023 Extraordinary Session,Type:Bill,2023-11-17
3112,HB23B-1005,Matters Related To Tax Relief For Tax Year 2023,/bills/hb23b-1005,"Concerning tax relief, and, in connection therewith, providing temporary property tax reductions for the 2023 property tax year, providing temporary income tax reductions for the 2023 income tax year, and establishing a temporary task force to make recommendations concerning property taxation.","Last Action:11/17/2023 | House Committee on Transportation, Housing & Local Government Postpone Indefinitely",0,"Rep. M. Lynch, Sen. B. Pelton",Fiscal Policy & TaxesLocal GovernmentState GovernmentState Revenue & Budget,2023 Extraordinary Session,Type:Bill,2023-11-17
3113,HB23B-1006,Creation Of Tax Code Task Force,/bills/hb23b-1006,Concerning the creation of the tax code legislative task force.,"Last Action:11/17/2023 | House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",0,"Rep. S. Luck, Sen. M. Baisley",Fiscal Policy & Taxes,2023 Extraordinary Session,Type:Bill,2023-11-17
3114,HB23B-1007,Increase 2023 Homestead Property Tax  Exemptions,/bills/hb23b-1007,"Concerning the provision of property tax relief for the 2023 property tax year through a one-year increase in the maximum amount of existing homestead property tax exemptions, and, in connection therewith, increasing by a specified amount the maximum amount of actual value of the owner-occupied primary residence of a qualifying senior, veteran with a disability, or surviving spouse of such a veteran of which fifty percent is exempt.","Last Action:11/17/2023 | House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",0,"Rep. D. Ortiz, Rep. R. Weinberg",Fiscal Policy & TaxesLocal GovernmentState Revenue & Budget,2023 Extraordinary Session,Type:Bill,2023-11-17
3115,HB23B-1008,Appropriation For Department Of Treasury,/bills/hb23b-1008,Concerning an appropriation to the department of the treasury to support the administration of the property tax deferral program during the 2023-24 state fiscal year.,Last Action:11/20/2023 | Governor Signed,1,"Rep. S. Lieder, Rep. T. Story, Sen. K. Mullica, Sen. C. Hansen",Fiscal Policy & TaxesState Revenue & Budget,2023 Extraordinary Session,Type:Bill,2023-11-20
3116,HB24-1001,Reauthorization of Rural Jump-Start Program,/bills/hb24-1001,"Concerning reauthorization of the rural jump-start zone program, and, in connection therewith, making an appropriation.",Last Action:05/29/2024 | Governor Signed,1,"Rep. M. Lukens, Rep. R. Taggart, Sen. D. Roberts, Sen. C. Simpson",Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-05-29
3117,HB24-1002,Social Work Licensure Compact,/bills/hb24-1002,"Concerning the enactment of the ""Social Work Licensure Compact"", and, in connection therewith, making an appropriation.",Last Action:06/3/2024 | Governor Signed,1,"Rep. E. Sirota, Rep. M. Martinez, Sen. J. Marchman, Sen. J. Rich",Professions & OccupationsPublic Health,2024 Regular Session,Type:Bill,2024-06-03
3118,HB24-1003,Opiate Antagonists and Detection Products in Schools,/bills/hb24-1003,Concerning measures related to harm reduction for students.,Last Action:04/22/2024 | Governor Signed,1,"Rep. B. McLachlan, Rep. M. Young, Sen. C. Simpson, Sen. D. Michaelson Jenet",Education & School Finance (Pre & K-12),2024 Regular Session,Type:Bill,2024-04-22
3119,HB24-1004,Ex-Offenders Practice in Regulated Occupations,/bills/hb24-1004,"Concerning the ability of ex-offenders to receive authorization to practice in state-regulated occupations, and, in connection therewith, making an appropriation.",Last Action:06/4/2024 | Governor Signed,1,"Rep. J. Bacon, Rep. S. Bird, Sen. J. Coleman",Professions & Occupations,2024 Regular Session,Type:Bill,2024-06-04
3120,HB24-1005,Health Insurers Contract with Qualified Providers,/bills/hb24-1005,Concerning contract requirements between primary care providers and other health-care organizations.,Last Action:04/17/2024 | Senate Committee on Health & Human Services Postpone Indefinitely,0,"Rep. C. deGruy Kennedy, Rep. D. Ortiz, Sen. D. Roberts, Sen. R. Fields",Health Care & Health Insurance,2024 Regular Session,Type:Bill,2024-04-17
3121,HB24-1006,Assist Rural Community Wildfire-Related Grant Application,/bills/hb24-1006,"Concerning assistance for rural communities to apply for wildfire-related grant money, and, in connection therewith, making an appropriation.",Last Action:05/20/2024 | Governor Signed,1,"Rep. E. Velasco, Rep. M. Snyder, Sen. L. Cutter, Sen. P. Will",Local GovernmentNatural Resources & Environment,2024 Regular Session,Type:Bill,2024-05-20
3122,HB24-1007,Prohibit Residential Occupancy Limits,/bills/hb24-1007,Concerning residential occupancy limits.,Last Action:04/15/2024 | Governor Signed,1,"Rep. M. Rutinel, Rep. J. Mabrey, Sen. T. Exum, Sen. J. Gonzales",HousingLocal Government,2024 Regular Session,Type:Bill,2024-04-15
3123,HB24-1008,Wage Claims Construction Industry Contractors,/bills/hb24-1008,"Concerning measures to expand general contractor accountability for wage claims involving contractors in the construction industry, and, in connection therewith, making an appropriation.",Last Action:05/17/2024 | Governor Vetoed,0,"Rep. M. Duran, Rep. M. Froelich, Sen. J. Danielson, Sen. C. Kolker",Labor & Employment,2024 Regular Session,Type:Bill,2024-05-17
3124,HB24-1009,Bilingual Child Care Licensing Resources,/bills/hb24-1009,"Concerning requiring the department of early childhood to provide child care licensing resources in prevalent languages, and, in connection therewith, making an appropriation.",Last Action:06/6/2024 | Governor Signed,1,"Rep. J. Joseph, Rep. B. McLachlan, Sen. J. Ginal, Sen. J. Rich",Children & Domestic MattersHealth Care & Health InsuranceHuman Services,2024 Regular Session,Type:Bill,2024-06-06
3125,HB24-1010,Insurance Coverage for Provider-Administered Drugs,/bills/hb24-1010,"Concerning limitations on drugs covered under an individual's health insurance policy that are administered by a provider in a setting other than a hospital, and, in connection therewith, making an appropriation.",Last Action:05/17/2024 | Governor Vetoed,0,"Rep. I. Jodeh, Rep. M. Soper, Sen. D. Michaelson Jenet, Sen. P. Will",Health Care & Health Insurance,2024 Regular Session,Type:Bill,2024-05-17
3126,HB24-1011,Mortgage Servicers Disburse Insurance Proceeds,/bills/hb24-1011,"Concerning mortgage servicers, and, in connection therewith, requiring mortgage servicers to take certain actions regarding the disbursement of insurance proceeds to borrowers.",Last Action:05/17/2024 | Governor Signed,1,"Rep. K. Brown, Rep. J. Amabile, Sen. L. Cutter, Sen. J. Marchman",HousingInsurance,2024 Regular Session,Type:Bill,2024-05-17
3127,HB24-1012,Front Range Passenger Rail District Efficiency,/bills/hb24-1012,Concerning the operational efficiency of the front range passenger rail district.,Last Action:04/29/2024 | Governor Signed,1,"Rep. T. Mauro, Rep. A. Boesenecker, Sen. R. Zenzinger, Sen. C. Simpson",Transportation & Motor Vehicles,2024 Regular Session,Type:Bill,2024-04-29
3128,HB24-1013,Victim Programs in New Twenty-Third Judicial District,/bills/hb24-1013,Concerning victim programs in the new twenty-third judicial district.,Last Action:04/4/2024 | Governor Signed,1,"Rep. A. Hartsook, Rep. M. Lukens, Sen. R. Pelton, Sen. J. Bridges",Courts & Judicial,2024 Regular Session,Type:Bill,2024-04-04
3129,HB24-1014,Deceptive Trade Practice Significant Impact Standard,/bills/hb24-1014,"Concerning the elimination of a judicially created requirement that a significant number of consumers be harmed before remedies may be available under the ""Colorado Consumer Protection Act"".",Last Action:05/3/2024 | Senate Committee on Judiciary Postpone Indefinitely,0,"Rep. M. Weissman, Rep. J. Mabrey, Sen. J. Gonzales",Business & Economic DevelopmentCourts & Judicial,2024 Regular Session,Type:Bill,2024-05-03
3130,HB24-1015,Workplace Suicide Prevention Education,/bills/hb24-1015,Concerning suicide prevention education in the workplace.,Last Action:05/14/2024 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,"Rep. S. Vigil, Sen. D. Michaelson Jenet",Health Care & Health InsuranceLabor & Employment,2024 Regular Session,Type:Bill,2024-05-14
3131,HB24-1016,Defined Personnel for Emergency Telephone Services,/bills/hb24-1016,"Concerning emergency communication services, and, in connection therewith, defining the term ""emergency communications specialist"" and clarifying the scope of the currently authorized use of certain emergency telecommunications service charge revenue for training and services rendered by an emergency communications specialist, other public safety answering point personnel, and other essential emergency personnel.",Last Action:03/15/2024 | Governor Signed,1,"Rep. S. Lieder, Rep. R. Armagost, Sen. C. Kolker, Sen. K. Van Winkle",Telecommunications & Information Technology,2024 Regular Session,Type:Bill,2024-03-15
3132,HB24-1017,Bill of Rights for Foster Youth,/bills/hb24-1017,Concerning a bill of rights for youth in foster care.,Last Action:04/24/2024 | Governor Signed,1,"Rep. L. Daugherty, Rep. J. Parenti, Sen. R. Zenzinger, Sen. D. Michaelson Jenet",Children & Domestic MattersHuman Services,2024 Regular Session,Type:Bill,2024-04-24
3133,HB24-1018,College Textbook Sales Use Tax Exemption,/bills/hb24-1018,Concerning a sales and use tax exemption for college textbooks.,Last Action:05/14/2024 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,"Rep. A. Boesenecker, Sen. J. Marchman",Fiscal Policy & TaxesHigher Education,2024 Regular Session,Type:Bill,2024-05-14
3134,HB24-1019,Crisis Resolution Team Program,/bills/hb24-1019,Concerning expanding a program to continue responding to youth behavioral health crises.,Last Action:05/14/2024 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,"Rep. M. Bradfield, Rep. J. Amabile, Sen. R. Fields, Sen. R. Pelton",Human ServicesPublic Health,2024 Regular Session,Type:Bill,2024-05-14
3135,HB24-1020,Enactment of CRS 2023,/bills/hb24-1020,Concerning the enactment of the Colorado Revised Statutes 2023 as the positive and statutory law of the state of Colorado.,Last Action:02/20/2024 | Governor Signed,1,"Rep. M. Soper, Rep. J. Mabrey, Sen. B. Gardner, Sen. C. Hansen",State Government,2024 Regular Session,Type:Bill,2024-02-20
3136,HB24-1021,Motor Vehicle Minor Driver Education Standards,/bills/hb24-1021,Concerning the training of individuals to drive motor vehicles.,Last Action:05/15/2024 | Governor Signed,1,"Rep. M. Lindsay, Sen. F. Winter, Sen. K. Priola",Transportation & Motor Vehicles,2024 Regular Session,Type:Bill,2024-05-15
3137,HB24-1022,Publish Bill Drafts Online before Session,/bills/hb24-1022,"Concerning publication of bill drafts online prior to the legislative session, and, in connection therewith, making an appropriation.","Last Action:05/4/2024 | Senate Committee on State, Veterans, & Military Affairs Refer Unamended to Appropriations",0,"Rep. S. Luck, Rep. E. Hamrick, Sen. K. Van Winkle",General Assembly,2024 Regular Session,Type:Bill,2024-05-04
3138,HB24-1023,Civil Forfeiture Reform,/bills/hb24-1023,Concerning civil forfeitures.,Last Action:02/6/2024 | House Committee on Judiciary Postpone Indefinitely,0,"Rep. K. DeGraaf, Sen. M. Baisley","Crimes, Corrections, & Enforcement",2024 Regular Session,Type:Bill,2024-02-06
3139,HB24-1024,Extend Outreach Campaigns Wildfire Risk Mitigation,/bills/hb24-1024,"Concerning the continuation of public outreach campaigns relating to wildfire risk mitigation in the wildland-urban interface, and, in connection therewith, making an appropriation.",Last Action:05/20/2024 | Governor Signed,1,"Rep. T. Story, Rep. E. Velasco, Sen. L. Cutter",Natural Resources & Environment,2024 Regular Session,Type:Bill,2024-05-20
3140,HB24-1025,Implement Fertility Coverage for Health Plans,/bills/hb24-1025,Concerning measures to provide equity in assisted reproduction.,Last Action:05/14/2024 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,Rep. M. Froelich,Insurance,2024 Regular Session,Type:Bill,2024-05-14
3141,HB24-1026,Local Government Tax Payers' Bill of Rights Prior Voter Approval Requirement,/bills/hb24-1026,Concerning a requirement that voters reauthorize a local government to retain revenue in excess of the limitations imposed by section 20 of article X of the state constitution.,"Last Action:02/5/2024 | House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",0,Rep. R. Bockenfeld,Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-02-05
3142,HB24-1027,Exemption for Children's Products,/bills/hb24-1027,"Concerning tax relief for products essential to minors, and, in connection therewith, creating a sales and use tax exemption for baby and toddler products and creating a sales and use tax holiday for back-to-school items.",Last Action:05/14/2024 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,"Rep. T. Winter, Sen. B. Pelton",Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-05-14
3143,HB24-1028,Overdose Prevention Centers,/bills/hb24-1028,Concerning the authorization for a municipality to allow for the operation of an overdose prevention center within its jurisdiction.,Last Action:04/18/2024 | Senate Committee on Health & Human Services Postpone Indefinitely,0,"Rep. E. Epps, Sen. K. Priola",Health Care & Health InsuranceLocal Government,2024 Regular Session,Type:Bill,2024-04-18
3144,HB24-1029,Prohibit Foreign Ownership Agriculture & Natural Resources,/bills/hb24-1029,Concerning prohibiting the ownership of certain property interests by covered foreign persons that are not located in the United States.,"Last Action:03/7/2024 | House Committee on State, Civic, Military, & Veterans Affairs Postpone Indefinitely",0,"Rep. B. Bradley, Sen. M. Baisley",AgricultureNatural Resources & Environment,2024 Regular Session,Type:Bill,2024-03-07
3145,HB24-1030,Railroad Safety Requirements,/bills/hb24-1030,"Concerning railroad safety, and, in connection therewith, requiring certain railroads to operate trains in a manner that minimizes the obstruction of emergency vehicles at highway-rail crossings, and, when necessary to allow an emergency vehicle to pass, separate a train; authorizing a crew member's designated union representative to request investigations of certain reported incidents; authorizing the public utilities commission to impose fines for certain violations; requiring fine revenue to be paid to the transit and rail division in the department of transportation for the purposes of maintaining and improving the safety of a passenger rail system; creating the office of rail safety; creating the community rail safety advisory committee; creating the rail industry safety advisory committee; and making an appropriation.",Last Action:05/10/2024 | Governor Signed,1,"Rep. J. Mabrey, Rep. T. Mauro, Sen. L. Cutter, Sen. T. Exum",Transportation & Motor Vehicles,2024 Regular Session,Type:Bill,2024-05-10
3146,HB24-1031,Accessibility for Persons in Child Welfare Matters,/bills/hb24-1031,"Concerning measures to increase accessibility provided to persons who are involved in matters regarding a child's welfare, and, in connection therewith, making an appropriation.",Last Action:06/3/2024 | Governor Signed,1,"Rep. B. Bradley, Rep. J. Joseph, Sen. B. Kirkmeyer, Sen. D. Michaelson Jenet",Children & Domestic Matters,2024 Regular Session,Type:Bill,2024-06-03
3147,HB24-1032,Extend Wild Horse Population Management Timeline,/bills/hb24-1032,Concerning an extension of the time for implementation of the wild horse population management program.,Last Action:03/22/2024 | Governor Signed,1,"Rep. M. Lynch, Rep. M. Duran, Sen. J. Ginal, Sen. P. Will",Natural Resources & Environment,2024 Regular Session,Type:Bill,2024-03-22
3148,HB24-1033,Emergency Management Plan Individuals with Animals,/bills/hb24-1033,"Concerning the needs of an individual with an animal during an emergency, and, in connection therewith, adapting emergency management plans to address the needs of an individual with an animal during an emergency and that local governments make certain information publicly available relating to an individual with an animal during an emergency.",Last Action:04/11/2024 | Governor Signed,1,"Rep. M. Snyder, Rep. E. Velasco, Sen. L. Cutter, Sen. S. Jaquez Lewis",Local Government,2024 Regular Session,Type:Bill,2024-04-11
3149,HB24-1034,Adult Competency to Stand Trial,/bills/hb24-1034,Concerning adult competency to stand trial.,Last Action:06/4/2024 | Governor Signed,1,"Rep. J. Amabile, Rep. M. Bradfield, Sen. R. Fields",Courts & Judicial,2024 Regular Session,Type:Bill,2024-06-04
3150,HB24-1035,Modernize Health Benefit Exchange Governance,/bills/hb24-1035,"Concerning technical modifications to the laws governing the Colorado health benefit exchange, and, in connection therewith, modifying the criteria for membership on and the number of meetings of the Colorado health insurance exchange oversight committee, adjusting the timeline for certain reports and presentations regarding the operations of the exchange, and directing the exchange to annually present its financial and operational plans and major board actions to the committee.",Last Action:04/4/2024 | Governor Signed,1,"Rep. A. Boesenecker, Rep. I. Jodeh, Sen. S. Jaquez Lewis, Sen. P. Will",Health Care & Health Insurance,2024 Regular Session,Type:Bill,2024-04-04
3151,HB24-1036,Adjusting Certain Tax Expenditures,/bills/hb24-1036,Concerning the adjustment of certain tax expenditures.,Last Action:06/4/2024 | Governor Signed,1,"Rep. M. Weissman, Rep. L. Frizell, Sen. C. Hansen, Sen. C. Kolker",Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-06-04
3152,HB24-1037,Substance Use Disorders Harm Reduction,/bills/hb24-1037,Concerning reducing the harm caused by substance use disorders.,Last Action:06/6/2024 | Governor Signed,1,"Rep. E. Epps, Rep. C. deGruy Kennedy, Sen. K. Priola",Health Care & Health Insurance,2024 Regular Session,Type:Bill,2024-06-06
3153,HB24-1038,High-Acuity Crisis for Children & Youth,/bills/hb24-1038,"Concerning addressing the high-acuity crisis for children and youth in need of residential care, and, in connection therewith, making an appropriation.",Last Action:06/6/2024 | Governor Signed,1,"Rep. M. Young, Rep. B. Bradley, Sen. B. Kirkmeyer, Sen. R. Fields",Health Care & Health InsuranceHuman Services,2024 Regular Session,Type:Bill,2024-06-06
3154,HB24-1039,Non-Legal Name Changes,/bills/hb24-1039,Concerning non-legal name changes for students in schools.,Last Action:04/29/2024 | Governor Signed,1,"Rep. S. Vigil, Rep. B. Titone, Sen. F. Winter, Sen. J. Marchman",Education & School Finance (Pre & K-12),2024 Regular Session,Type:Bill,2024-04-29
3155,HB24-1040,Gender-Affirming Health-Care Provider Study,/bills/hb24-1040,Concerning a study of the status of gender-affirming health-care providers.,Last Action:04/2/2024 | House Committee on Health & Human Services Postpone Indefinitely,0,"Rep. S. Vigil, Rep. K. McCormick, Sen. J. Marchman, Sen. F. Winter",Health Care & Health InsurancePublic Health,2024 Regular Session,Type:Bill,2024-04-02
3156,HB24-1041,Streamline Filing Sales & Use Tax Returns,/bills/hb24-1041,"Concerning the streamlining of processes for filing sales and use tax returns, and, in connection therewith, making an appropriation.",Last Action:04/4/2024 | Governor Signed,1,"Rep. C. Kipp, Rep. R. Taggart, Sen. J. Bridges, Sen. K. Van Winkle",Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-04-04
3157,HB24-1042,Fire & Police Pension Law Technical Corrections,/bills/hb24-1042,Concerning technical corrections to the statutes that govern fire and police pensions.,Last Action:03/6/2024 | Governor Signed,1,"Rep. M. Snyder, Rep. R. Taggart, Sen. C. Kolker, Sen. K. Van Winkle",Local GovernmentState Government,2024 Regular Session,Type:Bill,2024-03-06
3158,HB24-1043,State Contribution to Fire & Police Pension Association Death & Disability Fund,/bills/hb24-1043,"Concerning payments to the statewide death and disability trust fund to pay benefits for fire and police pension association members hired before January 1, 1997.",Last Action:05/28/2024 | Governor Signed,1,"Rep. R. Taggart, Rep. E. Hamrick, Sen. C. Hansen, Sen. K. Van Winkle",State Government,2024 Regular Session,Type:Bill,2024-05-28
3159,HB24-1044,Additional PERA Service Retirees for Schools,/bills/hb24-1044,Concerning the public employees' retirement association's limitations on employment after retirement for public school employers.,Last Action:04/19/2024 | Governor Signed,1,"Rep. E. Hamrick, Rep. R. Taggart, Sen. C. Hansen",Fiscal Policy & Taxes,2024 Regular Session,Type:Bill,2024-04-19
